,f,j,k,kʰ,l,m,n,p,pʰ,s,t,tʰ,t͡s,t͡sʰ,t͡ɕ,t͡ɕʰ,x,ɕ,ɻ,ʂ,ʈ͡ʂ,ʈ͡ʂʰ,∅
an,"ɡʌn,kɔ,kɔn,plaʊ,ʃaʊə,saʊə,pɔ,kɑ,pʊə,kʌɹi",,"pɔt,pɔ,ʃeɪk,pʊt,ɐkɔdɪŋtu,tɔl,ɛɡzɪt,tɔɪ,pɔɪnt,tu","ʃi,sɪt,sɪti,sɪk,kɹɪkɪt,ʃeɪk,ɛɡzɪt,kʊki,θɪk,θɪk","eəkəndɪʃənə,kaʊ,baɪɒləd͡ʒi,plaʊ,kəntɹəʊl,pəʊləbeə,blakhəʊl,ɡəʊldən,ʃaʊə,aʊl","dəʊ,bəʊ,ɡəʊ,təʊ,haʊ,bɑ,vɛt,dju,saʊə,ðeɪ","ɡəʊ,kaʊ,dju,vju,haʊ,nju,ju,ju,ʃaʊə,bəʊ","pleɪt,pinʌt,tɔl,nʌt,teɪl,pʌs,pʌpɪt,adʌlt,tɔɪlɪt,bʌt","kɑneɪʃən,keɪk,kɹieɪt,teɪk,dɛkəɹeɪt,ʃeɪk,tɛknɒləd͡ʒi,t͡ʃeɪn,kɑd,t͡ʃɑt","naʊ,saʊə,haʊ,d͡ʒanjuəɹi,ʃaʊə,vju,fɑ,flaʊə,valju,nɛfju","laɪk,laɪk,keɪk,bʊk,laɪt,laɪt,laɪt,leɪk,ɹaɪt,ɹaɪt","əʊkeɪ,ʃeɪk,tɹanspɔteɪʃən,avəlanʃ,eɪnd͡ʒəl,dɛkəɹeɪt,vəlɒsɪti,heɪzəlnʌt,kəmpʌlsəɹi,kʌlt͡ʃə",,"fɹaɪdeɪ,tɹanspɔteɪʃən,tɛlɪvɪʒən,dɹaɡənflaɪ,kəlɪʒən,əʊkeɪ,steɪʃən,ɛd͡ʒukeɪʃən,steɪ,kleɪ",,,"pɔ,tɔt͡ʃ,kɔ,kɒfi,pʊʃ,tɔɪ,tu,tu,tu,ɐkɔdɪŋtu",,"θaʊzənd,kaʊ,saʊnd,ɡɹaʊnd,ʃaʊə,haʊ,kaʊnt,saʊə,tɛnθaʊzənd,ɡəʊldən","naʊ,saʊə,saʊnd,saʊθ,flaʊə,daʊn,haʊ,taʊn,ɹaʊnd,taʊə","ʃɜt,tiʃɜt,t͡ʃɜt͡ʃ,dɹɛs,d͡ʒanjuəɹi,sand,dɛf,dans,ɡɛs,stjuədɛs","kamfətɹi,kandi,ti,dans,avəlanʃ,taɪ,tɹavəl,fəɹɛvə,ɹɛfəɹi,dansə","tɔɪ,kɑ,pɔɪnt,tu,tu,tu,tuθ,t͡ʃeɪn,seɪ,kʊʃən","ʊ 202%, a 118%, ʃ 93%, k 81%, ʒ 76%"
aɪ,,,"kəmpʌlsəɹi,pʌb,kʌntɹi,kʌɹi,kʌmpəni,kʌm,pʌŋk,pʊʃ,tɜtəldʌv,ɐkʌmpəni","t͡ʃizkeɪk,kəmpʌlsəɹi,kʌlt͡ʃə,kamfətɹi,aɡɹɪkʌlt͡ʃə,kiwi,t͡ʃɛɹi,kʌɹi,ʃeɪk,ʃeɪp","kəmpeə,kənsɪstənt,eəkəndɪʃənə,kənsʌltənt,ɐsɪstənt,kɑpəntə,kɪt͡ʃən,balkəni,ɐkaʊntənt,kəntɪnju","sɛntə,kʌmpəs,hʌnt,stʌmp,kʌmpəni,kʌntɹi,ɐkʌmpəni,hʌni,pʌmpkɪn,sɛptɛmbə","kəntɪnju,balkəni,nju,valju,wɪndəʊ,vju,ju,ju,dju,kənsʌltənt","sʌn,sʌn,sɛl,kwɪlt,hʌnt,həʊtɛl,sɔs,hɛl,bɹɛd,sʌm","adʌlt,həʊtɛl,keɪɒs,əʊkeɪ,teɪkkeəɹɒv,teɪl,ɛskeɪp,kalkjʊleɪt,kamfətɹi,hʌɹɪkeɪn","nɛsɪsəɹi,nɛst,d͡ʒʌstɪs,maɹi,mɪs,mɪs,ɹɪsɛpʃənɪst,mɛni,t͡ʃɛstnʌt,wɛst","kəmpʌlsəɹi,ɪɹɪɡeɪt,əʊkeɪ,keɪk,pɛlɪkən,ɐlɪtəl,weɪkʌp,pɪkəl,skɛlɪtən,ɛɡwaɪt","kəmpʌlsəɹi,t͡ʃizkeɪk,kʌlt͡ʃə,aɡɹɪkʌlt͡ʃə,skɛlɪtən,kənsʌltənt,keɪk,kiwi,ɛd͡ʒukeɪʃən,adʌlt","d͡ʒʌstɪs,t͡ʃɛstnʌt,d͡ʒanjuəɹi,t͡ʃalɪnd͡ʒ,d͡ʒʌst,d͡ʒʌst,t͡ʃɜt͡ʃ,ɡaɹɪd͡ʒ,nɛsɪsəɹi,ɹɪsɛpʃənɪst","kəlɪʒən,ɡaɹɪd͡ʒ,ɡɹad͡ʒuəli,kənstɹʌkʃənwɜkə,kaʒuəl,əɹɪd͡ʒɪnəli,t͡ʃalɪnd͡ʒ,kamfətɹi,kɑneɪʃən,d͡ʒanjuəɹi",,,"kɒfi,kɒnt͡ʃ,ʃi,kɒntɛst,kɔz,sihɔs,kɒmɪt,si,si,pʊʃ",,,,"stand,tɜtəldʌv,nɛst,kɒntɛst,standəd,ʌndəstand,nɜs,ɹɛstɹɒnt,θɜsti,dɹɛs",,"balkəni,kwɪlt,hʌnt,wɒnt,stʌmp,kənsʌltənt,ant,ant,swɒmp,ɡɪlti","ʌ 183%, k 127%, ɜ 103%, ɑ̃ 101%, h 94%"
eɪ,"kɒfi,hi,kʌm,lʌŋ,lʌv,tʌŋ,wɜm,dʌm,jʌŋ,stɑfɪʃ",,"pʊʃ,əbʌv,tuθ,pʌb,ɛɡ,pɪɡ,bʊʃ,tɔɪ,kɒfi,hɪp",,"patən,katəpɪlə,aftə,atəm,pɪstaʃɪəʊ,kaʃiə,wɜm,aɪlənd,pɪləʊ,kaləndə","kləʊðz,fɹɛʃ,fɹiz,kʌm,pɹɛfɹəns,stɑfɪʃ,kaktəs,nɜv,kɹəʊ,klɔɪstə","d͡ʒɛləs,baɪɒləd͡ʒi,vaɪɹəs,wɒlɹəs,d͡ʒɪɹaf,waɪf,wʊlf,ɡʌts,d͡ʒɛlɪfɪʃ,wɛst","tap,hɪp,stip,ɹʌb,tuθ,pʌb,stʌmp,tɹʌmpɪt,hɜb,tɜbɪd","əbʌv,dʌm,tɹʌmpɪt,tuθ,θɹɛd,lʌv,flʌd,tʌŋ,plʌmə,pʌb",,,,"əbʌv,wɪð,lʌv,avɹɪd͡ʒ,tɜbɪd,leɪdɪbʌɡ,ɡɪv,pʊʃ,bɪkʌm,pɪɹɐmɪd",,,,"kɒfi,kɒf,tuθ,pʊʃ,tɔt͡ʃ,kɔz,hɑf,ɡus,sihɔs,stɑfɪʃ",,,"nɜv,fɹɛnd,fɹɛʃ,ni,θɹi,θɹɪfti,θɹɛd,ɹʌf,ti,lʌv",,,,"ɜ 319%, θ 241%, ʌ 227%, v 208%, h 204%"
i,,,,,"mitɪə,baktiəɹiə,peə,peə,kaləndə,kaʃiə,peəɹənt,kliə,pɪstaʃɪəʊ,beə","pɹəʊsɛs,pɹɪnsɛs,pɹɪsaɪs,vakjumklinə,pɹəfɛsə,mɪs,mɪs,bʌs,klɪf,klɔɪstə","ju,ju,vju,stju,nju,dju,fju,ʃaʊə,wɔ,saʊə","bat,ɹabɪt,baskɪt,bad,tɜbɪd,planɪt,ɑmpɪt,mɒs,bɪtə,pʌpɪt","baskɪt,pɛn,bat,plan,flat,at,kat,bad,ɒfən,klɒθ",,"plastɪk,dɪpɛndənt,bʊk,last,baskɪt,ɹabɪt,mɒθ,bɪldɪŋblɒk,bɪtə,fɹɒst","plastɪk,baskɪt,fɹɒɡ,klɒk,pɛlɪkən,flat,pɹɒsɪkjutə,lɒk,fɹɒst,dɹaɡənfɹut",,,"ɡladɪəʊləs,pɹəfɛsə,dɪsɐpiə,d͡ʒɛləs,ɪntɛstɪn,dɪsɛnd,wɔtəfɔl,junɪvɜs,dɪvɛləp,d͡ʒʌstɪs","ʌðə,klɛvə,ɐɡɛn,ɡʌn,ɔdə,it͡ʃʌðə,kʌvə,kan,kaʃiə,ʌvən",,"sʌnɪnlɔ,mitɪə,ɪmidɪətli,maθɪmatɪks,θɹɪfti,fɹɛnd,ɔlɹɛdi,slipi,lɛnz,peəɹəntsɪnlɔ",,,,,"wɒnt,swɒmp,mɒnjumənt,ant,ant,wɒn,ɐsjum,swɒn,jɑn,ʌndəstand","j 120%, ð 103%, f 70%, ɒ 69%, t 69%"
in,,,,,"djʊəɹiən,ʃaʊə,kjʊəɹiəs,saʊə,eəkəndɪʃənə,taʊə,paʊə,t͡ʃeəmən,kɒlɪflaʊə,d͡ʒəɹeɪniəm","ɡɑdənə,kɑpəntə,kəmpjutə,bʌtə,ɡus,mɜdə,pɒpjʊlə,kɒpə,paʊdə,kɔnə",,"stɛpdɔtə,ɪmpʌls,ɪmɔtəl,nɛbjʊlə,ɔtʌm,ɪmad͡ʒɪn,ɔɹɪəʊl,d͡ʒɪm,ɪmpɔtənt,pɹaɪmmɪnɪstə","pɹɪzən,kwɑsɑ̃,t͡ʃɑt,kʌzən,kɹɪsanθəməm,ɪnfəmeɪʃən,kɑt,ɑt,kat,ɪnɜʃə",,,,,,"ɛksəsaɪz,səʊləsɪstəm,səʊld͡ʒə,ɪnɜʃə,səsaiəti,ʃəʊldə,saksəfəʊn,fətɒɡɹəfə,pɹəfɛsə,ɹaɪnəʊ","pɒpjʊlə,səʊld͡ʒə,pɒpjʊleɪʃən,kʌlt͡ʃə,ɡɑdənə,aɡɹɪkʌlt͡ʃə,d͡ʒɪnd͡ʒə,ɪnɜʃə,kɹɪsanθəməm,təɡɛðə",,"səsaiəti,haɪɐsɪnθ,dɪnaɪ,ɔlðətaɪm,saiəns,faiəflaɪ,sɪmfəni,taɪ,ɹaɪnəʊ,saɪn",,,,,"haɪɐsɪnθ,ɪnəsənt,ɡʊəd,kjʊəɹiəs,ɛnvaɪɹənmənt,wʊmən,mɒnjumənt,ɡʊdbaɪ,saiəns,ɪnsaɪd","ə 220%, ɐ 98%, ð 78%, a 62%, j 61%"
iŋ,,,,,"ʃaʊə,saʊə,pɪstaʃɪəʊ,paʊə,ʃaləʊ,list,saʊnd,haʊ,kaʃiə,ləʊ","faɪbə,faiəfaɪtə,vakjumklinə,ʃadəʊ,pɹəvaɪd,pɹaɪmmɪnɪstə,kəmpjutə,klinə,kjukʌmbə,kɑpəntə","tjubə,pəlismən,pjupəl,bəʊ,wɪspə,d͡ʒanjuəɹi,ju,ju,nju,stju","səpɹaɪzd,pɹəvaɪd,atəm,ad,paɪp,tɜmaɪt,at,eɪpɹəl,taɪp,kɹab","pɹəvaɪd,pleɪn,pleɪn,eɪpɹəl,paɪn,pleɪt,aɪdəl,paɪp,pɑt,paɪnapəl",,"laɪbɹəɹi,pɹaɪmmɪnɪstə,stɹaɪp,səpɹaɪzd,mɪlɪpid,steɪbəl,maɪkɹəʊweɪv,ɹɪfɹɪd͡ʒəɹeɪtə,bɪɡsɪstə,njuzpeɪpə","kəlɪʒən,ɹɪfɹɪd͡ʒəɹeɪtə,flaɪ,flaɪ,laɪk,laɪk,steɪʃən,fɹaɪdeɪ,ɛd͡ʒukeɪʃən,fɹɪkʃən",,,"ɛksəsaɪz,kɒlənaɪz,aɪskɹim,izi,ɪɹəʊd,ɛnəd͡ʒi,ɪnɜʃə,ʃaɪn,ɐnaləsɪs,dɪzaɪn","aɪskɹim,kɹaɪ,ʃaɪn,klɛvə,it͡ʃʌðə,ɛnəd͡ʒi,kɹeɪn,kɹeɪn,aɪdiə,kaʃiə",,"ɹaɪnəʊ,faiəflaɪ,faɪnəli,ɹaɪm,laɪtnɪŋ,taɪm,ɛksəsaɪz,fɹaɪ,laɪbɹəɹi,faɪv",,,,,"ɐɹaɪv,faɪv,aɪ,aɪ,faiəflaɪ,haɪɐsɪnθ,ɐlaɪv,haɪ,swɒmp,ɐsjum","a 292%, ɪ 192%, f 141%, v 94%, ə 76%"
iɑ,,,,,,,,,,,,,,,"d͡ʒʌmp,d͡ʒɪm,t͡ʃɜp,ɑm,ɔtʌm,t͡ʃɪp,d͡ʒɛlɪfɪʃ,ɪmad͡ʒɪn,kɛt͡ʃʌp,t͡ʃɛk","d͡ʒʌmp,d͡ʒʌd͡ʒ,t͡ʃɜt͡ʃ,pʌmpkɪn,ʃampeɪn,tɹʌŋk,pɹɛʃə,pɑm,pɑmɪzan,t͡ʃɪn",,"t͡ʃɪp,ʃɪp,t͡ʃɜp,d͡ʒɪm,d͡ʒʌmp,t͡ʃip,t͡ʃɛk,sɪɹamɪk,ʃɹɪmp,t͡ʃɪmni",,,,,"ɑm,d͡ʒʌmp,ɑmpɪt,swɒmp,ant,ant,d͡ʒɒb,ɒn,kamp,ʃɹɪmp","t͡ʃ 378%, d͡ʒ 371%, ʃ 318%, m 290%, ɑ 253%"
iɑŋ,,,,,"t͡ʃeəmən,kɹɪsanθəməm,dɪsɛmbə,pəʊləbeə,kəmpeə,kəmplit,maksɪməm,d͡ʒəɹeɪniəm,fɪʃəmən,t͡ʃeə",,,,,,,,,,"ɪmad͡ʒɪn,d͡ʒɪm,d͡ʒʌmp,ɪmpʌls,dɪsɛmbə,ɹɪmɛmbə,nəʊvɛmbə,pʌmpkɪn,sɛptɛmbə,sʌmtaɪmz","it͡ʃʌðə,kʌlt͡ʃə,dɒlfɪn,ɪmpʌls,səʊld͡ʒə,ʌðə,fɛðə,ɔl,tɔl,ɔlðəʊ",,"d͡ʒɪm,ɪmpʌls,ɹɪmɛmbə,ɪmad͡ʒɪn,ɔlðətaɪm,sʌmə,sɪmɛnt,d͡ʒulaɪ,ɹaɪm,d͡ʒɪnd͡ʒə",,,,,"ɪmpʌls,d͡ʒʌmp,kʌmpəs,ɪmpɔtənt,ɛvɪdəns,kəmpʌlsəɹi,ɛlɪmənt,ɪnsɛns,kjukʌmbə,ɐkʌmpəni","d͡ʒ 274%, m 211%, ʃ 169%, ʌ 131%, ʒ 122%"
iɑʊ,,,,,"kəlɪʒən,eəkəndɪʃənə,t͡ʃeəmən,d͡ʒəɹeɪniəm,kɒlɪflaʊə,pɒpjʊleɪʃən,kɑneɪʃən,pɒlɪtɪʃən,ɹaʃənəl,ɹɪfɹɪd͡ʒəɹeɪtə","ʃaʊə,saʊə,kəmpjutə,d͡ʒʌmp,kjub,stjudənt,pjupəl,skɜt,tjubə,sɪstə","ʃaʊə,saʊə,ju,ju,naʊ,djʊəɹɪŋ,jʊəɹɪn,stju,fju,flaʊə","tɜmaɪt,t͡ʃɜp,kəmpjutə,pɒpjʊleɪʃən,t͡ʃɑt,ʃɑp,patən,sʌm,atəm,sɜtən","skɪn,swɪm,pʌmpkɪn,ʃɹɪmp,skwɪd,skan,ɪnfəmeɪʃən,fəbɪd,kamp,swip",,"peəɹənt,peɪʃənt,pɛlɪkən,steɪʃən,pɒpjʊleɪʃən,kəmpeə,bɒtəm,ɛlɪmənt,peɪpə,pɹɪpeə","fjut͡ʃə,steɪʃən,kəlɪʒən,skɛlɪtən,skwɒt,kɪt͡ʃən,ɛd͡ʒukeɪʃən,skweə,skwɪd,skɪn",,,"sɔd,tɔl,sʌn,sʌn,tɛlɪvɪʒən,sʌm,d͡ʒʌmp,d͡ʒun,kɛt͡ʃʌp,ɹɪsɛpʃənɪst","kʌlt͡ʃə,it͡ʃʌðə,kəlɪʒən,ɛd͡ʒukeɪʃən,kɑneɪʃən,kʌzən,kɪt͡ʃən,pɹɛʃə,kwin,ɡasəlin",,"d͡ʒɪm,sɔt,ʃɔt,ʃɔt,sɔd,mɪnɪməm,fɔl,d͡ʒɜm,sɔ,ɐmaʊnt",,,,,"swɒmp,d͡ʒʌmp,ɐmaʊnt,hjumən,kjub,d͡ʒun,swɒn,ɐsjum,d͡ʒɒb,kaʊnt","ʒ 281%, ʃ 230%, j 138%, t͡ʃ 125%, p 123%"
iɛ,,,,,"ʃakəl,baɪsɪkəl,t͡ʃitə,t͡ʃiz,d͡ʒɛlɪfɪʃ,sɪstə,t͡ʃik,sɪkəl,lɪtəlsɪstə,klasɪkəlmjuzɪk",,,"sʌmtaɪmz,sʌmwɒt,stamp,pɹəʊsɛs,səpɹaɪzd,sɛnd,skɹɪpt,sɛntə,ʃampeɪn,ʃɹɪmp",,,"klasɪkəlmjuzɪk,bɪkɒz,bɪɡsɪstə,lɪɹɪks,mjuzɪk,bʊʃ,ɒstɹɪt͡ʃ,hʌndɹɪd,ɹɪfɹɪd͡ʒəɹeɪtə,pɒpmjuzɪk","klasɪkəlmjuzɪk,ʃeɪk,mjuzɪk,t͡ʃizkeɪk,t͡ʃɛɹi,skɛlɪtən,d͡ʒanjuəɹi,lɪtəlsɪstə,bɪɡsɪstə,aɡɹɪkʌlt͡ʃə",,,"səʊləsɪstəm,ɛksəsaɪz,d͡ʒʌstɪs,d͡ʒɛləs,bɪɡsɪstə,ɹɪsɛpʃənɪst,pɹəʊsɛs,ɪlɛktɹɪsɪti,dɪziz,t͡ʃiz","t͡ʃɪn,ɡʌn,t͡ʃɪkɪn,d͡ʒʌd͡ʒ,d͡ʒɪŋkɡəʊ,d͡ʒaz,t͡ʃɛɹi,d͡ʒɪnd͡ʒə,kɹeɪzi,ʃaɪn",,"fʌni,fʌnd,hʌndɹɪd,hʌni,θʌndə,fɹɛnd,hʌŋɡɹi,hɔn,hɔn,mɪks",,,,,"d͡ʒʌmp,wɒnt,d͡ʒaz,d͡ʒɒb,d͡ʒɔɪnts,d͡ʒun,swɒmp,mɒnjumənt,ɒv,ðɪs","z 232%, s 171%, d͡ʒ 164%, ʃ 102%, t͡ʃ 98%"
